Rank,Username,Total Wins,Profile URL,Followers,Member Since,Location,Total Instructables,Total Views,First Win,Most Recent Win,Favourite Category,Grand Prize,1st Prize,2nd Prize,3rd Prize,Runner Up,Judges' Prize,Special,Special Details,Contest Slugs
1,JGJMatt,68,https://www.instructables.com/member/JGJMatt/,711,"July 23rd, 2020",South Africa,100,"1,019,463",gobig,clocks24,General,6,16,20,,21,5,,,"gobig, pets2022, plastics2021, sculptandcarve22, explorescience, home24, tiny, sticky, audio2021, maps2021, tinkercad2fusion, fiberarts2021, fixit2022, tool24, tinfoil, fried, fixit2021, trash, puzzlegame24, leather2022, metal2020, fiberarts2022, reuse22, photography22, makeitglow2023, wear23, makeitfly2021, rainbow23, wearables22, metal2022, leather2021, stickitgood, hotglue2022, elements2021, staywarm24, papercardboard24, eggs, reuse23, laser2021, robotics2023, home23, fashion2021, text24, fandom2022, 1000, bikes, bicycle2022, concrete2022, metal23, plywood2020, sciencefair2022, retrotech, magnets23, scraps, crayons22, handtools, unusualuses2021, masonjar2020, concrete2021, noise23, paper, water2024, backyard22, selfcare, books24, unusualuses23, clocks23, clocks24"
2,Momos75,65,https://www.instructables.com/member/Momos75/,320,"August 29th, 2018",,108,"460,386",anythinggoes2021,candy2020,General,8,18,20,1,16,1,1,4Th Prize: 1,"anythinggoes2021, outofthebox, baking2018, bread2021, sandwich, frozentreats2019, anythinggoes, pumpkin, rainbow2020, sweettreats2019, cookies2020, chocolate22, rainbow2021, fruitandveg22, fried, copycat2020, comfortfood, riceandgrains, onepotfood2021, anythinggoes2023, onepotfood, frozentreats2020, meatfree, potato, cheese2021, rainbow23, frozentreats2022, edibleart21, meatless, kitchenskills, sidedishes, eggs, homecooked, CoffeeSpeedChallenge, piday2021, baking2020, candy2019, fat2019, sandwichspeed, cookout2020, breakfast, stuffonastick2021, BBQ2021, spicy, baking2023, piechallenge, yumdessert, mealprep19, organiccooking, breadsoup22, cheese, pumpkins, pie2019, fruitandveg, rainbow25, cookies2019, rainbow22, cold, Kompromises, cookies25, pumpkin2020, soupstew, cookie, beautytips, candy2020"
3,FernMakes,64,https://www.instructables.com/member/FernMakes/,564,"February 29th, 2008",England,101,"1,149,886",flowers2018,sewfast,General,2,9,14,2,33,3,1,5Th Prize: 1,"flowers2018, rainbow24, declutter, tiny, organizing2021, fixit24, party2019, backpack, frozentreats2019, maps2021, fiberarts2021, rainbow2020, rainbow2018, paper2020, stuffedtoys, papercraft2017, rainbow2021, hideit, leather2022, maps2019, fiberarts2022, sewing, fiberarts2020, 2sewornot2sew, rope22, weaving, decor, rainbow23, warmfuzzy2020, stickitgood, paint21, staywarm24, glass2017, papercardboard24, bigandsmall, tiny2020, concrete2020, CardboardSpeed19, stickit, home23, fashion2021, BookCostume19, text24, organize19, cardboard2020, oil, cardboard2022, paper2021, Paint2020, Gems21, fiberarts2017, warmfuzzy2019, concrete2021, rainbow2019, pumpkins, bigsmall23, rainbow25, bigsmall25, unusualuses23, casting, pumpkin2020, speedyarn2020, beautytips, sewfast"
4,lonesoulsurfer,63,https://www.instructables.com/member/lonesoulsurfer/,"4,045","March 9th, 2011",Australia,254,"8,668,636",audio2020,pvcchallenge,General,4,11,24,2,19,2,1,4Th Prize: 1,"audio2020, pocketsized2019, beforeandafter2017, makeitglow2013, hidingplaces2017, audio2021, robots25, gardeninghomesteading, protips, makeitglow2015, metal2017, robots2020, hideit, trash, puzzlegame24, fire2017, pocketsized2018, reuse22, makeitglow2023, invention2017, fixit20, lampslighting, papercraft2014, gamelife2018, valentinesday2017, guerilladesign, reuse23, outsidecontest2016, battery2020, stickit, box, visualize25, anythinggoes2024, survivalready, 1000, tarun, greenelectronics2016, lamps22, misuse, metal2021, remix, makerfamily, vintage2014, anythinggoes2025, retrotech, makerolympics2016, lighting, outside2017, freeforall, audio18, workshophacks2017, mif2017, noise23, reuse2019, beforeafter2016, books24, makeitglow2022, instruments19, urbanfarming, pocketsize2012, electronicstips2018, tech2014, pvcchallenge"
5,Brooklyntonia,63,https://www.instructables.com/member/Brooklyntonia/,"1,527","June 1st, 2011",,149,"1,589,235",gobig,beautytips,General,5,12,15,4,26,1,,,"gobig, beforeandafter2017, fashion, winterfun, metal2016, apocalypsepreparedness, formlabs, feet, smallspaces, papercraft2017, diorama, leather2022, art, handtoolsonly, leatherworking, concrete2015, rope22, trashtotreasure2018, weaving, sculptandcarve, wax, summermikehacks, frozentreats2022, stickitgood, purplechallenge, wearit, bedroom, MadeWithMath19, teachernotes, guerilladesign, beyondthecomfortzone, earringchallenge, clay, hairandmakeup2015, fixit2017, summerfun, travel, toy2013, piedaycontest, wedding2014, wearables2020, epilogv, leather2015, toysgames22, remix, remix2015, leftovers, piechallenge, makerolympics2016, fallforyarn, breadsoup22, warmfuzzy2019, epilog9, teacher2019, 3djewelry2013, teachers2017, paper, rainbow22, oilandvinegar, makeymakey, pvc2022, fixit2014, beautytips"
6,doodlecraft,53,https://www.instructables.com/member/doodlecraft/,"3,762","July 25th, 2012",,151,"6,592,608",baking2016,organization2014,General,1,13,11,6,21,,1,4Th Prize: 1,"baking2016, homemadegifts, edibleart, contestpurple, fiberarts2013, papercraft2017, frozentreats, slowfood, fullspectrum2014, deceptivedesserts, bedroom, up2013, valentines2014, prankchallenge, pumpkin2015, halloween2014costume, clay, halloweenfood2015, playwithclay, heirloom, backtoschool2012, halloween2013props, dormhacks2016, candy2013, makeitglow2014, printanddye, stamping2013, halloweenprops2016, fandom, potluck, beauty2013, pixlrhalloween2012, butterchallenge, sewwarm2012, softtoys, bread2012, epilogv, leather2015, makerfamily, teachit, madebybees, halloween2012props, crafting101, onabudget, halloween2014food, comfortfood2014, holidaygifts2012, jewelry2013, mikeshard, halloween2013food, glutenfree2018, pizzachallenge, organization2014"
7,Creative Mom CZ,51,https://www.instructables.com/member/Creative Mom CZ/,556,"October 3rd, 2017","Brno, CZ",175,"867,721",candlesoap,beautytips,General,,5,14,1,30,,1,8Th Prize: 1,"candlesoap, flowers2018, baking2018, backpack, pumpkin, fandom2025, cookies2020, halloween21, chocolate22, jewelry23, baking2017, fried, springclean2020, afterschool, comfortfood, earth25, halloween2017, fiberarts2022, artskills, fiberarts2020, wear23, rope22, sculpt2020, weaving, chair26, decor, edibleart21, staywarm24, eggs, halloween22, budget24, instructables20, candy2019, sandwichspeed, staywarm25, outdoor24, warmfuzzy2019, decorate25, cheese, bigsmall23, heart, farm24, selfcare, pieday25, madhatter25, unusualuses23, cold, spotless, cookies25, homemadegifts2017, beautytips"
8,BrittLiv,49,https://www.instructables.com/member/BrittLiv/,"3,414","August 10th, 2009",Hamburg,81,"5,660,731",mim2020,craft2013,General,13,14,9,2,10,1,,,"mim2020, LED2016, foodscience, hax2012, buildmylab, frozentreats2019, audio, fiberarts2021, fidgetspinner, contestpurple, intel, protips, modifyit, heroesvillains, puzzles22, aprilfools2013, halloween2017, fiberarts2020, invention2017, fandom2021, lampslighting, bigorsmall, plastics2020, cookies2012, zippers2021, makerlympics2014, vanlife, up2013, halloween2011decorations, halloween2010, planter2019, toysgames, redneck2012, battery2013, bigvssmall, remix2015, designnowinmotion, makeitstick2012, icouldmakethat, makerolympics2016, toy2, woodwork2021, halloween2013food, reuse2019, bbq2013, spotless, tech2014, homemadegifts2017, craft2013"
9,Muhaiminah Faiz,48,https://www.instructables.com/member/Muhaiminah Faiz/,"3,920","May 18th, 2012",Bangladesh,182,"7,453,885",papercraft,halloween2014decor,General,2,8,10,3,23,,2,4Th Prize: 2,"papercraft, pocketsized2019, homemadegifts, jewelry2020, bookit, copycatrecipes, fiberarts2013, necklacechallenge, homeremedies, snacks2017, healthyeating, greendesign2014, baking2013, weaving, 3ingredient, deandrascrafts, lampslighting, indian2013, manlycrafts, winterwearables, makerlympics2014, sewwarm2013, rainbow2015, valentines2014, earringchallenge, quilling2016, homemadegifts2016, printanddye, braceletchallenge, beauty2013, jewelry2022, zippers2014, jewelry2019, makerfamily, papercraft2015, snow2014, cheese2016, appleschallenge, makerolympics2016, paper2019, fallforyarn, superfoodchallenge, snackfood2014, greatoutdoors2013, fashion2013, pumpkinchallenge, trashtotreasure, halloween2014decor"
10,Not_Tasha,48,https://www.instructables.com/member/Not_Tasha/,826,"December 8th, 2013",,295,"2,058,014",classroomscience,beautytips,General,3,9,11,5,20,,,,"classroomscience, madewithyarn, baking2016, sandwich, caffeine, bookit, diysummercamp2019, gardening2017, stem2019, wedding2016, baconcontest, tandy2016, comfortfood, slowfood, halloweenprops2015, makerspace2017, dormfood, unusualuses2017, breakfast2017, deceptivedesserts, string, kitchenskills, animalinnovations, preserveit, halloweenfood2015, heirloom, campingfood, piedaycontest, butterchallenge, glutenfree2017, classroomorganization, onepotmeal, animalscontest, makerolympics2016, wearabletech, superfoodchallenge, remix2016, sweettooth, teacher2019, somelikeithot, lowwater, solar2017, selfcare, pizzachallenge, meat2016, urbanfarming, Makerspace, beautytips"
